Tags,Bid ranges (gross),Bids,Impressions won,Winning bid CPM (gross),Close CPM,Win %
gut_742_1,26.4 - 26.5,1,1,26.4,1.304,100%
gut_742_1,12.1 - 12.2,1,0,0,0,0.00%
gut_742_1,1.6 - 1.7,288,216,1.658481482,0.541222222,75%
gut_742_1,15 - 15.1,2,1,15.074,0.92,50%
gut_742_1,1.7 - 1.8,796,607,1.751607908,0.542787479,76%
gut_742_1,18.3 - 18.4,1,1,18.344,2.232,100%
gut_742_1,13.3 - 13.4,2,2,13.363,2.284,100%
gut_742_1,2.8 - 2.9,198,183,2.853901639,0.634404372,92.42%
gut_742_1,10.4 - 10.5,3,3,10.483,0.658666667,100%
gut_742_1,9.6 - 9.7,4,4,9.65175,2.204,100.00%
gut_742_1,5.7 - 5.8,3,3,5.748,0.744,100%
gut_742_1,3.6 - 3.7,39,33,3.646454546,0.837939394,85%
gut_742_1,8 - 8.1,62,55,8.000490909,0.777290909,89%
gut_742_1,8.9 - 9,1,1,8.959,1.264,100%
gut_742_1,6 - 6.1,84,77,6.015519481,0.970597403,92%
gut_742_1,5.5 - 5.6,81,71,5.553774648,1.093408451,88%
gut_742_1,11.1 - 11.2,3,3,11.147,0.898666667,100%
gut_742_1,9.5 - 9.6,1,1,9.501,2.808,100%
gut_742_1,4.2 - 4.3,14,11,4.253272727,0.740363636,79%
gut_742_1,32.6 - 32.7,1,1,32.68,2.52,100%
gut_742_1,11.4 - 11.5,1,1,11.406,1.264,100.00%
gut_742_1,2 - 2.1,329,256,2.029554688,0.63903125,78%
gut_742_1,0.6 - 0.7,1679,767,0.641099087,0.228414602,46%
gut_742_1,49.1 - 49.2,1,1,49.115,0.448,100%
gut_742_1,0.1 - 0.2,57984,1419,0.16816561,0.116246653,2%
gut_742_1,2.9 - 3,458,380,2.95326579,0.824031579,83%
gut_742_1,8.2 - 8.3,1,1,8.247,1.264,100%
gut_742_1,1.1 - 1.2,476,307,1.141530945,0.456208469,64.50%
gut_742_1,6.1 - 6.2,11,11,6.149636364,0.983272727,100%
gut_742_1,5.9 - 6,31,17,5.950823529,0.349764706,54.84%
gut_742_1,3.4 - 3.5,66,60,3.442566667,1.062133333,91%
gut_742_1,7.4 - 7.5,4,4,7.452,0.5,100.00%
gut_742_1,4.9 - 5,15,13,4.984615385,0.617538462,86.67%
gut_742_1,7 - 7.1,165,153,7.009993464,0.777294118,93%
gut_742_1,9.4 - 9.5,2,2,9.417,2.232,100%
gut_742_1,4 - 4.1,107,97,4.031536083,1.474556701,91%
gut_742_1,8.6 - 8.7,3,3,8.643,3.194666667,100%
gut_742_1,2.5 - 2.6,559,436,2.518825688,0.815724771,78%
gut_742_1,3.1 - 3.2,94,77,3.161285714,0.804779221,81.91%
gut_742_1,10.9 - 11,1,1,10.914,6.223,100%
gut_742_1,20 - 20.1,1,1,20,1.2,100%
gut_742_1,2.3 - 2.4,115,97,2.342340206,0.56914433,84%
gut_742_1,16.3 - 16.4,2,2,16.399,1.064,100.00%
gut_742_1,32.7 - 32.8,1,1,32.771,0.344,100%
gut_742_1,0.2 - 0.3,49594,9494,0.247995682,0.170929008,19%
gut_742_1,3.2 - 3.3,35,31,3.230483871,0.840258065,89%
gut_742_1,0.9 - 1,1041,615,0.930091057,0.447180488,59.08%
gut_742_1,0.3 - 0.4,26474,13013,0.358912242,0.22240644,49%
gut_742_1,35.8 - 35.9,1,0,0,0,0.00%
gut_742_1,3.9 - 4,23,21,3.97352381,0.608761905,91.30%
gut_742_1,0.4 - 0.5,4210,1661,0.449284768,0.207781457,39%
gut_742_1,1.3 - 1.4,1122,956,1.355052301,0.439792887,85.20%
gut_742_1,4.5 - 4.6,15,12,4.521,1.109916667,80.00%
gut_742_1,2.2 - 2.3,271,206,2.245941748,0.674019418,76%
gut_742_1,21.3 - 21.4,1,1,21.363,0.624,100.00%
gut_742_1,7.2 - 7.3,6,4,7.21925,1.282,66.67%
gut_742_1,4.8 - 4.9,8,7,4.823142857,0.339428571,87.50%
gut_742_1,12.4 - 12.5,1,1,12.409,2.232,100%
gut_742_1,8.8 - 8.9,9,8,8.818125,0.658,89%
gut_742_1,7.3 - 7.4,6,3,7.353,1.414666667,50.00%
gut_742_1,10.1 - 10.2,1,1,10.119,0,100%
gut_742_1,11.2 - 11.3,2,2,11.2415,0.664,100.00%
gut_742_1,8.7 - 8.8,1,0,0,0,0.00%
gut_742_1,9.3 - 9.4,1,1,9.316,2.599,100%
gut_742_1,15.3 - 15.4,2,2,15.314,0.652,100.00%
gut_742_1,11 - 11.1,7,7,11.08242857,1.170285714,100.00%
gut_742_1,7.5 - 7.6,7,7,7.523428571,1.989714286,100%
gut_742_1,21.7 - 21.8,1,1,21.74,0.624,100%
gut_742_1,18.6 - 18.7,1,1,18.666,0.384,100.00%
gut_742_1,0 - 0.1,176012,34,0.052647059,0.024705882,0%
gut_742_1,46.4 - 46.5,1,1,46.45,0.784,100%
gut_742_1,27 - 27.1,1,1,27,1.6,100%
gut_742_1,1.4 - 1.5,445,335,1.439692537,0.427391045,75%
gut_742_1,10.7 - 10.8,1,1,10.767,0.568,100%
gut_742_1,48.8 - 48.9,1,1,48.8,0.2,100%
gut_742_1,2.1 - 2.2,184,127,2.132629921,0.541984252,69%
gut_742_1,22 - 22.1,1,1,22.067,1.6,100%
gut_742_1,1.5 - 1.6,781,552,1.533315217,0.500552536,71%
gut_742_1,3.7 - 3.8,49,45,3.742044444,0.845422222,92%
gut_742_1,31 - 31.1,1,0,0,0,0%
gut_742_1,40 - 40.1,1,1,40.04,0.912,100%
gut_742_1,4.7 - 4.8,113,104,4.753375,0.905375,92%
gut_742_1,6.8 - 6.9,2,2,6.8765,0.22,100%
gut_742_1,19.4 - 19.5,1,1,19.406,1.927,100%
gut_742_1,5.6 - 5.7,4,4,5.6545,0.53,100.00%
gut_742_1,5.2 - 5.3,39,34,5.268588235,0.907647059,87%
gut_742_1,14.9 - 15,2,2,14.989,0.484,100%
gut_742_1,5.1 - 5.2,37,32,5.12959375,1.058,86%
