"Tags","Bid ranges (gross)","Bids","Impressions won","Winning bid CPM (gross)","Close CPM","Win %"
"gut_742_1","1.4 — 1.5","445","335","1.4396925373","0.4273910448","75.2808988764%"
"gut_742_1","8.7 — 8.8","1","0","—","—","0%"
"gut_742_1","1.7 — 1.8","796","607","1.7516079077","0.5427874794","76.256281407%"
"gut_742_1","10.1 — 10.2","1","1","10.119","0","100%"
"gut_742_1","2.6 — 2.7","304","258","2.6456705426","0.6964263566","84.8684210526%"
"gut_742_1","2 — 2.1","329","256","2.0295546875","0.63903125","77.811550152%"
"gut_742_1","1.8 — 1.9","186","149","1.8400805369","0.5464161074","80.1075268817%"
"gut_742_1","4.3 — 4.4","39","36","4.367","0.8148888889","92.3076923077%"
"gut_742_1","4.2 — 4.3","14","11","4.2532727273","0.7403636364","78.5714285714%"
"gut_742_1","4.1 — 4.2","11","10","4.1515","0.8072","90.9090909091%"
"gut_742_1","5.8 — 5.9","2","2","5.83","0.668","100%"
"gut_742_1","5.5 — 5.6","81","71","5.5537746479","1.0934084507","87.6543209877%"
"gut_742_1","5.4 — 5.5","8","8","5.463125","0.603","100%"
"gut_742_1","8.8 — 8.9","9","8","8.818125","0.658","88.8888888889%"
"gut_742_1","8 — 8.1","62","55","8.0004909091","0.7772909091","88.7096774194%"
"gut_742_1","7.8 — 7.9","1","1","7.884","1.008","100%"
"gut_742_1","11.2 — 11.3","2","2","11.2415","0.664","100%"
"gut_742_1","9.6 — 9.7","4","4","9.65175","2.204","100%"
"gut_742_1","9 — 9.1","1","1","9","0.344","100%"
"gut_742_1","15.3 — 15.4","2","2","15.314","0.652","100%"
"gut_742_1","13.3 — 13.4","2","2","13.363","2.284","100%"
"gut_742_1","13 — 13.1","1","1","13","9.88","100%"
"gut_742_1","21.7 — 21.8","1","1","21.74","0.624","100%"
"gut_742_1","18.2 — 18.3","1","1","18.24","0.344","100%"
"gut_742_1","16.6 — 16.7","2","2","16.666","2.7","100%"
"gut_742_1","46.4 — 46.5","1","1","46.45","0.784","100%"
"gut_742_1","25 — 25.1","9","8","25","0.401","88.8888888889%"
"gut_742_1","22.5 — 22.6","1","1","22.54","0.912","100%"
"gut_742_1","35.8 — 35.9","1","0","—","—","0%"
"gut_742_1","6.6 — 6.7","9","9","6.6476666667","1.2924444444","100%"
"gut_742_1","50 — 50.1","17","16","421.5869375","52.225875","94.1176470588%"
"gut_742_1","26.4 — 26.5","1","1","26.4","1.304","100%"
"gut_742_1","4.9 — 5","15","13","4.9846153846","0.6175384615","86.6666666667%"
"gut_742_1","8.2 — 8.3","1","1","8.247","1.264","100%"
"gut_742_1","12.1 — 12.2","1","0","—","—","0%"
"gut_742_1","3.7 — 3.8","49","45","3.7420444444","0.8454222222","91.8367346939%"
"gut_742_1","5.6 — 5.7","4","4","5.6545","0.53","100%"
"gut_742_1","5.2 — 5.3","39","34","5.2685882353","0.9076470588","87.1794871795%"
"gut_742_1","1.9 — 2","227","176","1.9571363636","0.6267272727","77.5330396476%"
"gut_742_1","4.6 — 4.7","127","102","4.6489901961","0.7004313725","80.3149606299%"
"gut_742_1","7.3 — 7.4","6","3","7.353","1.4146666667","50%"
"gut_742_1","0.2 — 0.3","49,594","9,494","0.2479956815","0.1709290078","19.1434447715%"
"gut_742_1","3.1 — 3.2","94","77","3.1612857143","0.8047792208","81.914893617%"
"gut_742_1","4.8 — 4.9","8","7","4.8231428571","0.3394285714","87.5%"
"gut_742_1","1.5 — 1.6","781","552","1.5333152174","0.5005525362","70.6786171575%"
"gut_742_1","3 — 3.1","690","602","3.0059983389","0.6672043189","87.2463768116%"
"gut_742_1","2.2 — 2.3","271","206","2.2459417476","0.6740194175","76.0147601476%"
"gut_742_1","3.6 — 3.7","39","33","3.6464545455","0.8379393939","84.6153846154%"
"gut_742_1","2.4 — 2.5","140","117","2.4376581197","0.6566153846","83.5714285714%"
"gut_742_1","0.4 — 0.5","4,210","1,661","0.4492847682","0.207781457","39.4536817102%"
"gut_742_1","6 — 6.1","84","77","6.0155194805","0.9705974026","91.6666666667%"
"gut_742_1","3.8 — 3.9","20","16","3.84175","1.0035","80%"
"gut_742_1","1 — 1.1","1,303","743","1.0187483176","0.3984172275","57.0222563315%"
"gut_742_1","9.5 — 9.6","1","1","9.501","2.808","100%"
"gut_742_1","6.3 — 6.4","5","5","6.3536","2.2056","100%"
"gut_742_1","49.1 — 49.2","1","1","49.115","0.448","100%"
"gut_742_1","15 — 15.1","2","1","15.074","0.92","50%"
"gut_742_1","11.1 — 11.2","3","3","11.147","0.8986666667","100%"
"gut_742_1","11.4 — 11.5","1","1","11.406","1.264","100%"
"gut_742_1","0.3 — 0.4","26,474","13,013","0.3589122416","0.2224064397","49.1538868324%"
"gut_742_1","32.6 — 32.7","1","1","32.68","2.52","100%"
"gut_742_1","8.9 — 9","1","1","8.959","1.264","100%"
"gut_742_1","32.7 — 32.8","1","1","32.771","0.344","100%"
"gut_742_1","1.3 — 1.4","1,122","956","1.3550523013","0.439792887","85.2049910873%"
"gut_742_1","5.1 — 5.2","37","32","5.12959375","1.058","86.4864864865%"
"gut_742_1","0.8 — 0.9","1,584","816","0.833442402","0.3373823529","51.5151515152%"
"gut_742_1","33 — 33.1","1","1","33","1.464","100%"
"gut_742_1","0.7 — 0.8","1,487","727","0.7359683631","0.2510192572","48.8903833221%"
"gut_742_1","3.3 — 3.4","61","53","3.3364150943","1.2877735849","86.8852459016%"
"gut_742_1","20 — 20.1","1","1","20","1.2","100%"
"gut_742_1","2.7 — 2.8","166","142","2.7363661972","0.7698591549","85.5421686747%"
"gut_742_1","6.7 — 6.8","5","5","6.748","1.7022","100%"
"gut_742_1","11 — 11.1","7","7","11.0824285714","1.1702857143","100%"
"gut_742_1","26 — 26.1","1","1","26.037","0.2","100%"
"gut_742_1","7.9 — 8","1","1","7.997","0.992","100%"
"gut_742_1","8.6 — 8.7","3","3","8.643","3.1946666667","100%"
"gut_742_1","1.2 — 1.3","438","282","1.2463865248","0.445106383","64.3835616438%"
"gut_742_1","10.9 — 11","1","1","10.914","6.223","100%"
"gut_742_1","0.1 — 0.2","57,984","1,419","0.1681656096","0.1162466526","2.4472268212%"
"gut_742_1","12.4 — 12.5","1","1","12.409","2.232","100%"
"gut_742_1","18.6 — 18.7","1","1","18.666","0.384","100%"
"gut_742_1","1.1 — 1.2","476","307","1.1415309446","0.4562084691","64.4957983193%"
"gut_742_1","9.7 — 9.8","8","7","9.787","1.1268571429","87.5%"
"gut_742_1","10.4 — 10.5","3","3","10.483","0.6586666667","100%"
"gut_742_1","3.4 — 3.5","66","60","3.4425666667","1.0621333333","90.9090909091%"
"gut_742_1","7.5 — 7.6","7","7","7.5234285714","1.9897142857","100%"
"gut_742_1","21.3 — 21.4","1","1","21.363","0.624","100%"
"gut_742_1","7 — 7.1","165","153","7.0099934641","0.7772941176","92.7272727273%"
"gut_742_1","5 — 5.1","139","126","5.013047619","1.2487857143","90.6474820144%"
"gut_742_1","4.4 — 4.5","52","44","4.4376363636","0.5781818182","84.6153846154%"
"gut_742_1","12.5 — 12.6","1","1","12.571","1.2","100%"
"gut_742_1","4 — 4.1","107","97","4.0315360825","1.474556701","90.6542056075%"
"gut_742_1","9.3 — 9.4","1","1","9.316","2.599","100%"
"gut_742_1","5.3 — 5.4","4","4","5.32175","1.082","100%"
"gut_742_1","2.1 — 2.2","184","127","2.1326299213","0.541984252","69.0217391304%"
"gut_742_1","2.3 — 2.4","115","97","2.3423402062","0.5691443299","84.347826087%"
"gut_742_1","6.5 — 6.6","3","3","6.5316666667","0.3573333333","100%"
"gut_742_1","22.2 — 22.3","1","1","22.265","0.344","100%"
"gut_742_1","3.9 — 4","23","21","3.9735238095","0.6087619048","91.3043478261%"
"gut_742_1","6.8 — 6.9","2","2","6.8765","0.22","100%"
"gut_742_1","22 — 22.1","1","1","22.067","1.6","100%"
"gut_742_1","4.5 — 4.6","15","12","4.521","1.1099166667","80%"
"gut_742_1","6.9 — 7","31","30","6.9093","0.7362666667","96.7741935484%"
"gut_742_1","16.9 — 17","1","1","16.932","0.528","100%"
"gut_742_1","7.2 — 7.3","6","4","7.21925","1.282","66.6666666667%"
"gut_742_1","7.6 — 7.7","2","2","7.62","0.944","100%"
"gut_742_1","12.2 — 12.3","1","1","12.293","1.096","100%"
"gut_742_1","8.1 — 8.2","1","1","8.182","1.264","100%"
"gut_742_1","22.9 — 23","1","1","22.934","0.832","100%"
"gut_742_1","12 — 12.1","1","1","12.08","0.784","100%"
"gut_742_1","10.6 — 10.7","1","1","10.67","2.52","100%"
"gut_742_1","10.7 — 10.8","1","1","10.767","0.568","100%"
"gut_742_1","14.9 — 15","2","2","14.989","0.484","100%"
"gut_742_1","19.4 — 19.5","1","1","19.406","1.927","100%"
"gut_742_1","40 — 40.1","1","1","40.04","0.912","100%"
"gut_742_1","8.5 — 8.6","6","6","8.573","0.3733333333","100%"
"gut_742_1","5.9 — 6","31","17","5.9508235294","0.3497647059","54.8387096774%"
"gut_742_1","4.7 — 4.8","113","104","4.753375","0.905375","92.0353982301%"
"gut_742_1","3.5 — 3.6","116","99","3.5150808081","1.0518282828","85.3448275862%"
"gut_742_1","1.6 — 1.7","288","216","1.6584814815","0.5412222222","75%"
"gut_742_1","0 — 0.1","176,012","34","0.0526470588","0.0247058824","0.0193168648%"
"gut_742_1","2.5 — 2.6","559","436","2.5188256881","0.8157247706","77.9964221825%"
"gut_742_1","2.8 — 2.9","198","183","2.8539016393","0.6344043716","92.4242424242%"
"gut_742_1","5.7 — 5.8","3","3","5.748","0.744","100%"
"gut_742_1","9.9 — 10","2","2","9.975","0.344","100%"
"gut_742_1","18 — 18.1","2","1","18","0.344","50%"
"gut_742_1","0.5 — 0.6","2,737","1,088","0.5400845588","0.2221507353","39.751552795%"
"gut_742_1","48.8 — 48.9","1","1","48.8","0.2","100%"
"gut_742_1","0.6 — 0.7","1,679","767","0.6410990874","0.2284146023","45.6819535438%"
"gut_742_1","2.9 — 3","458","380","2.9532657895","0.8240315789","82.9694323144%"
"gut_742_1","6.1 — 6.2","11","11","6.1496363636","0.9832727273","100%"
"gut_742_1","7.4 — 7.5","4","4","7.452","0.5","100%"
"gut_742_1","9.4 — 9.5","2","2","9.417","2.232","100%"
"gut_742_1","16.3 — 16.4","2","2","16.399","1.064","100%"
"gut_742_1","27 — 27.1","1","1","27","1.6","100%"
"gut_742_1","10.3 — 10.4","1","1","10.373","1.264","100%"
"gut_742_1","18.3 — 18.4","1","1","18.344","2.232","100%"
"gut_742_1","31 — 31.1","1","0","—","—","0%"
"gut_742_1","8.3 — 8.4","3","3","8.333","2.7","100%"
"gut_742_1","3.2 — 3.3","35","31","3.230483871","0.8402580645","88.5714285714%"
"gut_742_1","0.9 — 1","1,041","615","0.9300910569","0.4471804878","59.0778097983%"
"gut_742_2","15.4 — 15.5","1","1","15.438","0.912","100%"
"gut_742_2","15 — 15.1","27","24","15","2.1124583333","88.8888888889%"
"gut_742_2","50 — 50.1","10","5","406.9098","9.1032","50%"
"gut_742_2","19.9 — 20","10","10","19.965","0.972","100%"
"gut_742_2","16.8 — 16.9","1","1","16.889","1.712","100%"
"gut_742_2","7 — 7.1","69","34","7.0204411765","2.5238529412","49.2753623188%"
"gut_742_2","3.7 — 3.8","25","13","3.7513846154","1.6903076923","52%"
"gut_742_2","9.9 — 10","18","12","9.9945","2.8463333333","66.6666666667%"
"gut_742_2","10 — 10.1","9","8","10","3.9485","88.8888888889%"
"gut_742_2","17.6 — 17.7","1","1","17.611","1.264","100%"
"gut_742_2","6.5 — 6.6","5","4","6.5025","1.924","80%"
"gut_742_2","0.6 — 0.7","2,710","0","—","—","0%"
"gut_742_2","12.2 — 12.3","1","1","12.244","1.192","100%"
"gut_742_2","3.8 — 3.9","59","22","3.8360909091","1.421","37.2881355932%"
"gut_742_2","2.2 — 2.3","316","117","2.2387435897","1.1586410256","37.0253164557%"
"gut_742_2","5.3 — 5.4","11","9","5.3462222222","1.6438888889","81.8181818182%"
"gut_742_2","1 — 1.1","1,821","23","1.017173913","0.9096956522","1.2630422845%"
"gut_742_2","5.4 — 5.5","8","4","5.4395","2.317","50%"
"gut_742_2","1.5 — 1.6","1,815","1,001","1.5614125874","1.0846983017","55.1515151515%"
"gut_742_2","3.2 — 3.3","69","35","3.2411428571","1.5464","50.7246376812%"
"gut_742_2","16.9 — 17","3","3","16.9","4.0426666667","100%"
"gut_742_2","6.9 — 7","18","11","6.9566363636","2.7969090909","61.1111111111%"
"gut_742_2","7.5 — 7.6","15","11","7.5407272727","2.8138181818","73.3333333333%"
"gut_742_2","0.7 — 0.8","1,899","0","—","—","0%"
"gut_742_2","10.9 — 11","3","1","10.974","1.2","33.3333333333%"
"gut_742_2","9.3 — 9.4","3","3","9.309","2.272","100%"
"gut_742_2","3.6 — 3.7","36","20","3.63815","1.8616","55.5555555556%"
"gut_742_2","8.2 — 8.3","1","0","—","—","0%"
"gut_742_2","10.7 — 10.8","2","2","10.77","1.128","100%"
"gut_742_2","6.3 — 6.4","6","5","6.339","2.43","83.3333333333%"
"gut_742_2","5.9 — 6","20","3","5.947","2.044","15%"
"gut_742_2","1.2 — 1.3","743","121","1.2473966942","0.8966694215","16.2853297443%"
"gut_742_2","8.3 — 8.4","13","9","8.338","2.5577777778","69.2307692308%"
"gut_742_2","4.7 — 4.8","10","8","4.757125","1.841375","80%"
"gut_742_2","2.4 — 2.5","144","62","2.4495","1.2424516129","43.0555555556%"
"gut_742_2","14.2 — 14.3","2","1","14.291","1.456","50%"
"gut_742_2","2.1 — 2.2","841","432","2.1413171296","1.049712963","51.3674197384%"
"gut_742_2","12.7 — 12.8","1","1","12.71","2.296","100%"
"gut_742_2","36.4 — 36.5","1","1","36.45","1.767","100%"
"gut_742_2","0.8 — 0.9","3,561","1","0.812","0.909","0.0280819994%"
