report_date,keyword,rubicon_paid_impressions,rubicon_revenue,dfp_impressions,value_cpm
2016-02-16,ar100,2717,0.54,2730.0,0.17406594
2016-02-17,ar100,6347,2.56,7956.0,0.28315736
2016-02-16,ar100_2,7066,1.03,7145.0,0.12685794
2016-02-17,ar100_2,13939,4.43,17472.0,0.2231227
2016-02-16,ar100_728x90_1,796,0.13,777.0,0.14723294
2016-02-16,ar100_728x90_2,1351,0.15,1351.0,0.09770541
2016-02-16,ar102,1670,0.69,1689.0,0.35950266
2016-02-17,ar102,919,0.4,1152.0,0.30555556
2016-02-16,ar102_2,69,0.02,70.0,0.25142857
2016-02-17,ar102_2,9,0.0,11.0,0.0
2016-02-16,ar104,78,0.04,79.0,0.44556961
2016-02-17,ar104,90,0.05,113.0,0.38938054
2016-02-16,ar104_2,307,0.17,310.0,0.48258065
2016-02-17,ar104_2,543,0.23,681.0,0.29720999
2016-02-16,ar106,30795,12.49,31145.0,0.35290415
2016-02-17,ar106,14367,6.32,17996.0,0.30904646
2016-02-16,ar106_2,138344,48.05,139912.0,0.30221853
2016-02-17,ar106_2,53128,21.26,66594.0,0.28093823
2016-02-16,ar11,389492,184.0,787728.0,0.20555319
2016-02-17,ar11,210618,104.29,527888.0,0.17385355
2016-02-16,ar11_1,153249,63.63,154899.0,0.36148975
2016-02-17,ar11_1,92778,42.24,116243.0,0.31977153
2016-02-16,ar11_2,3776023,1097.66,3818793.0,0.25294401
2016-02-17,ar11_2,1882765,642.31,2359943.0,0.23951121
2016-02-16,ar16,53804,24.04,54367.0,0.38911841
2016-02-17,ar16,33211,16.17,41585.0,0.34218108
2016-02-16,ar16_2,268509,79.46,271550.0,0.25750248
2016-02-17,ar16_2,124980,44.38,156647.0,0.24931471
2016-02-16,ar17,1259,0.57,1259.0,0.39841143
2016-02-17,ar17,696,0.3,862.0,0.30626451
2016-02-16,ar17_1,1028,0.44,1028.0,0.37665369
2016-02-17,ar17_1,379,0.16,470.0,0.29957446
2016-02-16,ar17_2,30223,9.23,30564.0,0.26575054
2016-02-17,ar17_2,11649,4.06,14603.0,0.24466205
2016-02-16,ar18,249,0.13,252.0,0.45396824
2016-02-17,ar18,116,0.05,145.0,0.30344828
2016-02-16,ar18_2,487,0.15,493.0,0.26774849
2016-02-17,ar18_2,161,0.08,202.0,0.34851484
2016-02-16,ar22,6973,1.47,7029.0,0.18403756
2016-02-17,ar22,5174,1.18,6470.0,0.16049458
2016-02-16,ar22_1,41868,5.91,42320.0,0.12289225
2016-02-17,ar22_1,25498,4.35,31943.0,0.11983846
2016-02-16,ar22_2,82999,9.05,83940.0,0.0948773
2016-02-17,ar22_2,51740,6.9,64844.0,0.09364012
2016-02-16,ar23,226,0.09,229.0,0.34585154
2016-02-17,ar23,107,0.05,134.0,0.32835821
2016-02-16,ar23_2,171,0.08,173.0,0.40693641
2016-02-17,ar23_2,128,0.07,160.0,0.385
2016-02-16,ar25,2191,1.51,2216.0,0.59963899
2016-02-17,ar25,1655,1.19,2073.0,0.50516163
2016-02-16,ar25_2,2312,0.82,2338.0,0.30863986
2016-02-17,ar25_2,1520,0.61,1906.0,0.28163694
2016-02-16,ar26,8355,4.57,8446.0,0.47615441
2016-02-17,ar26,4334,2.57,5427.0,0.41673115
2016-02-16,ar26_2,85012,30.13,85975.0,0.30839662
2016-02-17,ar26_2,48507,21.87,60800.0,0.31653949
2016-02-16,ar27,3624,0.89,3665.0,0.21369713
2016-02-17,ar27,2180,0.67,2733.0,0.21573363
2016-02-16,ar28,97187,27.74,98216.0,0.24854606
2016-02-17,ar28,35264,12.89,44104.0,0.2571921
2016-02-16,ar28_2,150972,31.71,152652.0,0.18280009
2016-02-17,ar28_2,45506,13.48,56972.0,0.20821455
2016-02-16,ar29,31575,11.66,63830.0,0.160752
2016-02-17,ar29,14716,5.79,36802.0,0.138449
2016-02-16,ar29_2,77753,21.19,78633.0,0.23714217
2016-02-17,ar29_2,25527,8.22,31988.0,0.22613481
2016-02-16,ar30_1,309,0.15,313.0,0.42172526
2016-02-17,ar30_1,614,0.33,770.0,0.37714287
2016-02-16,ar30_2,1025,0.4,1037.0,0.3394407
2016-02-17,ar30_2,1732,0.73,2171.0,0.29590051
2016-02-16,ar31,270392,121.6,273385.0,0.39141869
2016-02-17,ar31,159039,74.65,199306.0,0.32960373
2016-02-16,ar31_2,1084397,334.37,1096681.0,0.26830555
2016-02-17,ar31_2,448712,163.82,562437.0,0.25631601
2016-02-16,ar35,12602,5.44,12714.0,0.37652981
2016-02-17,ar35,11957,5.87,29882.0,0.17286661
2016-02-16,ar35_2,73690,21.54,74528.0,0.25433664
2016-02-17,ar35_2,71178,23.9,89218.0,0.23573718
2016-02-16,ar35_728x90_2,28675,7.49,28988.0,0.22737684
2016-02-17,ar35_728x90_2,27371,8.63,34274.0,0.22157904
2016-02-16,ar37,500442,132.86,506074.0,0.23102708
2016-02-17,ar37,260775,86.47,326848.0,0.23281036
2016-02-16,ar37_2,1820093,260.01,1840707.0,0.12430485
2016-02-17,ar37_2,870966,164.1,1091709.0,0.13227701
2016-02-16,ar38,16908,4.2,17099.0,0.21615298
2016-02-17,ar38,9825,2.98,12315.0,0.21294357
2016-02-16,ar38_2,8593,2.49,8690.0,0.2521519
2016-02-17,ar38_2,5147,1.57,6451.0,0.21416835
2016-02-16,ar39,1037,0.22,1040.0,0.18615385
2016-02-17,ar39,803,0.19,1001.0,0.16703296
2016-02-16,ar39_2,5558,1.04,5620.0,0.16284697
2016-02-17,ar39_2,3819,0.83,4787.0,0.1525799
2016-02-16,ar40,4778,1.61,4832.0,0.29321192
2016-02-17,ar40,3439,1.22,4311.0,0.24903735
2016-02-16,ar40_2,13015,2.88,13162.0,0.19255433
2016-02-17,ar40_2,8241,2.3,10330.0,0.19593417
2016-02-16,ar41,25076,9.55,25342.0,0.3316234
2016-02-17,ar41,12324,5.5,15428.0,0.31371532
2016-02-16,ar41_2,103009,26.96,104174.0,0.22774204
2016-02-17,ar41_2,33383,10.81,41843.0,0.22734508
2016-02-16,ar44_1,20524,8.7,20754.0,0.36889274
2016-02-17,ar44_1,14022,6.74,17567.0,0.33763305
2016-02-16,ar44_160x600_1,20095,6.69,20323.0,0.28968164
2016-02-17,ar44_160x600_1,10064,3.5,12602.0,0.24440565
2016-02-16,ar49,92012,28.57,93023.0,0.27027294
2016-02-17,ar49,90228,31.56,113075.0,0.24561397
2016-02-16,ar49_2,347692,59.06,351629.0,0.14780579
2016-02-17,ar49_2,294575,58.64,369235.0,0.13975706
2016-02-16,ar4_728x90_1,11038,3.67,11163.0,0.28931291
2016-02-17,ar4_728x90_1,6870,2.65,8611.0,0.27081641
2016-02-16,ar4_728x90_2,15502,3.53,15678.0,0.19813752
2016-02-17,ar4_728x90_2,8161,2.28,10229.0,0.1961482
2016-02-16,ar50,13216,2.87,13356.0,0.18909852
2016-02-17,ar50,19552,5.41,24493.0,0.1943739
2016-02-16,ar50_2,66489,11.27,67242.0,0.14749116
2016-02-17,ar50_2,95790,18.29,120068.0,0.13405071
2016-02-16,ar51,29824,13.13,30098.0,0.38389262
2016-02-17,ar51,20976,9.83,26236.0,0.32971489
2016-02-16,ar51_2,151300,44.13,153014.0,0.25379639
2016-02-17,ar51_2,74540,25.77,93433.0,0.2427151
2016-02-16,ar52,23250,8.4,23507.0,0.31445951
2016-02-17,ar52,11551,4.59,14479.0,0.27896955
2016-02-16,ar52_2,51668,14.19,52252.0,0.23898032
2016-02-17,ar52_2,19618,5.83,24590.0,0.20863765
2016-02-16,ar53,2479,0.92,2481.0,0.32632004
2016-02-17,ar53,1925,0.69,2369.0,0.25631068
2016-02-16,ar53_1,2370,0.98,2373.0,0.36342184
2016-02-17,ar53_1,2391,1.02,2955.0,0.30375634
2016-02-16,ar53_2,17686,4.59,17886.0,0.22583027
2016-02-17,ar53_2,15327,4.97,19181.0,0.2280173
2016-02-16,ar55,690,0.28,698.0,0.3530086
2016-02-17,ar55,341,0.14,428.0,0.28785047
2016-02-16,ar55_2,431,0.12,435.0,0.24275862
2016-02-17,ar55_2,162,0.06,203.0,0.26009852
2016-02-16,ar56,58253,18.07,58914.0,0.26991207
2016-02-17,ar56,33290,12.99,41714.0,0.27403749
2016-02-16,ar56_2,142422,34.04,144035.0,0.20797168
